Climate,SoilType,WaterLevel,LandSize,PlantName,FertilizerName,DiseasesName,MedicineName
Rainy (Monsoon),Black Soil,Medium,4.77,Horse Gram (Kollu),Compost,Rust,Copper Fungicide
Summer,Loamy,Low,7.45,Horse Gram (Kollu),Compost,Wilt,Trichoderma
Spring,Loamy,Low,2.02,Horse Gram (Kollu),Compost,Root Rot,Neem Oil
Winter,Red Soil,High,7.67,Horse Gram (Kollu),Vermicompost,Root Rot,Copper Fungicide
Winter,Clay,Medium,5.85,Horse Gram (Kollu),Urea,Powdery Mildew,Trichoderma
Summer,Clay,High,3.63,Horse Gram (Kollu),DAP,Blight,Sulfur Spray
Winter,Black Soil,Medium,9.58,Horse Gram (Kollu),Cow Manure,Leaf Spot,Chlorothalonil
Rainy (Monsoon),Loamy,High,2.88,Field Pea (Pacchai pattani),Urea,Wilt,Sulfur Spray
Spring,Clay,High,6.87,Field Pea (Pacchai pattani),Compost,Wilt,Chlorothalonil
Summer,Clay,Low,5.04,Field Pea (Pacchai pattani),DAP,Root Rot,Chlorothalonil
Spring,Sandy,Medium,2,Field Pea (Pacchai pattani),Compost,Root Rot,Sulfur Spray
Spring,Sandy,Medium,3.75,Field Pea (Pacchai pattani),Vermicompost,Rust,Sulfur Spray
Winter,Sandy,Low,1.42,Field Pea (Pacchai pattani),Cow Manure,Wilt,Neem Oil
Cold,Clay,Low,6.36,Field Pea (Pacchai pattani),NPK,Rust,Trichoderma
Rainy (Monsoon),Black Soil,Medium,6.5,Field Pea (Pacchai pattani),Urea,Rust,Carbendazim
Summer,Alluvial Soil,High,5.7,Field Pea (Pacchai pattani),DAP,Blight,Sulfur Spray
Summer,Black Soil,High,1.14,Field Pea (Pacchai pattani),Compost,Root Rot,Neem Oil
Spring,Clay,Low,3.56,Moth Bean (Naripayaru),Vermicompost,Wilt,Sulfur Spray
Rainy (Monsoon),Clay,Medium,5.37,Moth Bean (Naripayaru),DAP,Blight,Trichoderma
Winter,Loamy,Low,3.54,Moth Bean (Naripayaru),Compost,Powdery Mildew,Neem Oil
Cold,Black Soil,Low,4.16,Moth Bean (Naripayaru),Vermicompost,Root Rot,Neem Oil
Spring,Sandy,Medium,9.1,Moth Bean (Naripayaru),Urea,Leaf Spot,Sulfur Spray
Winter,Alluvial Soil,Low,5.33,Moth Bean (Naripayaru),Urea,Wilt,Sulfur Spray
Spring,Clay,Low,3.84,Moth Bean (Naripayaru),Cow Manure,Blight,Chlorothalonil
Rainy (Monsoon),Black Soil,Low,6.97,Moth Bean (Naripayaru),Urea,Rust,Neem Oil
Spring,Alluvial Soil,Low,2.91,Moth Bean (Naripayaru),Vermicompost,Rust,Sulfur Spray
Spring,Alluvial Soil,Medium,2.12,Moth Bean (Naripayaru),Cow Manure,Leaf Spot,Sulfur Spray
Cold,Red Soil,High,5.34,Cluster Bean (Kothavaragai),Cow Manure,Rust,Sulfur Spray
Winter,Clay,High,6.74,Cluster Bean (Kothavaragai),Vermicompost,Wilt,Chlorothalonil
Spring,Sandy,Low,9.89,Cluster Bean (Kothavaragai),NPK,Rust,Sulfur Spray
Rainy (Monsoon),Black Soil,Low,6.43,Cluster Bean (Kothavaragai),Cow Manure,Powdery Mildew,Sulfur Spray
Summer,Loamy,High,4.59,Cluster Bean (Kothavaragai),Cow Manure,Rust,Neem Oil
Cold,Clay,High,7.37,Cluster Bean (Kothavaragai),DAP,Wilt,Sulfur Spray
Spring,Alluvial Soil,High,7.4,Cluster Bean (Kothavaragai),Vermicompost,Blight,Trichoderma
Spring,Red Soil,Medium,5.44,Cluster Bean (Kothavaragai),Vermicompost,Leaf Spot,Carbendazim
Summer,Sandy,Medium,8.49,Cluster Bean (Kothavaragai),Cow Manure,Blight,Carbendazim
Winter,Alluvial Soil,Medium,9.21,Cluster Bean (Kothavaragai),NPK,Leaf Spot,Sulfur Spray
Summer,Clay,High,2.76,Groundnut (Peanut),NPK,Leaf Spot,Chlorothalonil
Summer,Sandy,Medium,2.09,Groundnut (Peanut),Vermicompost,Rust,Chlorothalonil
Rainy (Monsoon),Black Soil,Low,3.1,Groundnut (Peanut),NPK,Wilt,Copper Fungicide
Cold,Red Soil,High,9.97,Groundnut (Peanut),Vermicompost,Rust,Sulfur Spray
Cold,Black Soil,Low,4.92,Groundnut (Peanut),Cow Manure,Blight,Chlorothalonil
Summer,Alluvial Soil,Medium,3.78,Groundnut (Peanut),Urea,Wilt,Copper Fungicide
Winter,Alluvial Soil,Low,7.72,Groundnut (Peanut),DAP,Leaf Spot,Copper Fungicide
Rainy (Monsoon),Black Soil,High,1.3,Groundnut (Peanut),Urea,Wilt,Carbendazim
Summer,Clay,Low,2.88,Groundnut (Peanut),DAP,Powdery Mildew,Neem Oil
Cold,Clay,High,7.97,Groundnut (Peanut),NPK,Root Rot,Chlorothalonil
Winter,Sandy,High,3.84,Mustard (Kadugu),Compost,Leaf Spot,Neem Oil
Winter,Clay,High,1.49,Mustard (Kadugu),Urea,Leaf Spot,Copper Fungicide
Rainy (Monsoon),Loamy,Medium,2.38,Mustard (Kadugu),DAP,Rust,Carbendazim
Winter,Red Soil,High,0.58,Mustard (Kadugu),DAP,Leaf Spot,Neem Oil
Winter,Alluvial Soil,High,3.06,Mustard (Kadugu),Urea,Wilt,Trichoderma
Winter,Clay,Low,6.65,Mustard (Kadugu),NPK,Rust,Chlorothalonil
Rainy (Monsoon),Loamy,Low,9.29,Mustard (Kadugu),Compost,Wilt,Carbendazim
Cold,Black Soil,Low,1.76,Mustard (Kadugu),Cow Manure,Blight,Sulfur Spray
Winter,Black Soil,Low,2.03,Mustard (Kadugu),NPK,Powdery Mildew,Neem Oil
Rainy (Monsoon),Red Soil,Medium,6.25,Mustard (Kadugu),Urea,Root Rot,Sulfur Spray
Summer,Clay,Low,3.94,Sunflower ,Urea,Blight,Trichoderma
Cold,Alluvial Soil,Low,4.37,Sunflower ,DAP,Rust,Sulfur Spray
Winter,Loamy,High,3.69,Sunflower ,Cow Manure,Wilt,Copper Fungicide
Summer,Red Soil,Medium,7.96,Sunflower ,NPK,Blight,Carbendazim
Cold,Sandy,Low,7.5,Sunflower ,NPK,Wilt,Chlorothalonil
Cold,Alluvial Soil,High,1.73,Sunflower ,Urea,Powdery Mildew,Chlorothalonil
Summer,Red Soil,High,1.83,Sunflower ,Vermicompost,Root Rot,Copper Fungicide
Rainy (Monsoon),Red Soil,Medium,2.56,Sunflower ,DAP,Leaf Spot,Copper Fungicide
Rainy (Monsoon),Clay,High,6.4,Sunflower ,NPK,Leaf Spot,Neem Oil
Cold,Sandy,Medium,3.24,Sunflower ,NPK,Powdery Mildew,Copper Fungicide
Cold,Clay,Low,5.39,Soybean (Soya Bean),Urea,Powdery Mildew,Carbendazim
Cold,Sandy,Low,9.94,Soybean (Soya Bean),Cow Manure,Root Rot,Trichoderma
Spring,Loamy,High,9.44,Soybean (Soya Bean),Urea,Leaf Spot,Carbendazim
Cold,Red Soil,Medium,8.62,Soybean (Soya Bean),Urea,Wilt,Copper Fungicide
Cold,Loamy,Low,1.84,Soybean (Soya Bean),Urea,Powdery Mildew,Sulfur Spray
Cold,Alluvial Soil,Low,2.48,Soybean (Soya Bean),Vermicompost,Rust,Copper Fungicide
Summer,Red Soil,Medium,1.55,Soybean (Soya Bean),Vermicompost,Wilt,Carbendazim
Spring,Loamy,High,7.33,Soybean (Soya Bean),Compost,Wilt,Carbendazim
Winter,Black Soil,Low,8.33,Soybean (Soya Bean),DAP,Leaf Spot,Copper Fungicide
Summer,Alluvial Soil,Low,8.57,Soybean (Soya Bean),Cow Manure,Root Rot,Chlorothalonil
Cold,Loamy,Low,5.81,Sesame (ell),Urea,Blight,Sulfur Spray
Spring,Black Soil,High,8.31,Sesame (ell),Compost,Blight,Sulfur Spray
Cold,Loamy,Medium,8.69,Sesame (ell),Urea,Leaf Spot,Sulfur Spray
Winter,Clay,High,1.94,Sesame (ell),NPK,Powdery Mildew,Trichoderma
Winter,Red Soil,Low,8.44,Sesame (ell),Vermicompost,Blight,Trichoderma
Spring,Sandy,Medium,6.19,Sesame (ell),Compost,Root Rot,Copper Fungicide
Cold,Alluvial Soil,Low,0.95,Sesame (ell),DAP,Leaf Spot,Trichoderma
Summer,Alluvial Soil,Low,2.81,Sesame (ell),Urea,Blight,Neem Oil
Spring,Alluvial Soil,High,2.75,Sesame (ell),Vermicompost,Rust,Trichoderma
Winter,Alluvial Soil,Medium,9.9,Sesame (ell),Urea,Rust,Carbendazim
Spring,Black Soil,Medium,6.17,Castor (Aamanakku),Compost,Wilt,Chlorothalonil
Cold,Red Soil,Medium,6.9,Castor (Aamanakku),Cow Manure,Powdery Mildew,Chlorothalonil
Summer,Black Soil,Medium,7.03,Castor (Aamanakku),DAP,Leaf Spot,Sulfur Spray
Cold,Clay,Medium,2.51,Castor (Aamanakku),Compost,Leaf Spot,Carbendazim
Summer,Alluvial Soil,Medium,8.31,Castor (Aamanakku),Vermicompost,Root Rot,Sulfur Spray
Rainy (Monsoon),Alluvial Soil,Medium,6.3,Castor (Aamanakku),Compost,Rust,Trichoderma
Cold,Sandy,Medium,8.02,Castor (Aamanakku),Compost,Rust,Chlorothalonil
Summer,Loamy,Low,8.25,Castor (Aamanakku),Urea,Rust,Carbendazim
Winter,Black Soil,High,5.83,Castor (Aamanakku),NPK,Blight,Neem Oil
Cold,Clay,Medium,2.97,Castor (Aamanakku),Vermicompost,Leaf Spot,Neem Oil
Winter,Sandy,High,4.66,Flaxseed(Aali vidai),Cow Manure,Blight,Trichoderma
Rainy (Monsoon),Sandy,Low,9.24,Flaxseed(Aali vidai),DAP,Leaf Spot,Carbendazim
Spring,Alluvial Soil,High,9.13,Flaxseed(Aali vidai),DAP,Powdery Mildew,Carbendazim
Spring,Black Soil,Medium,3.44,Flaxseed(Aali vidai),DAP,Wilt,Trichoderma
Spring,Alluvial Soil,Medium,1.85,Flaxseed(Aali vidai),NPK,Wilt,Sulfur Spray
Spring,Loamy,Medium,3.23,Flaxseed(Aali vidai),Urea,Root Rot,Trichoderma
Cold,Sandy,Low,5.74,Flaxseed(Aali vidai),Urea,Powdery Mildew,Carbendazim
Rainy (Monsoon),Clay,Low,6.79,Flaxseed(Aali vidai),Urea,Blight,Chlorothalonil
Rainy (Monsoon),Red Soil,Medium,4.4,Flaxseed(Aali vidai),NPK,Root Rot,Carbendazim
Spring,Clay,Medium,6.4,Flaxseed(Aali vidai),DAP,Rust,Copper Fungicide
Summer,Black Soil,Medium,6.14,Niger Seed (payellu),Compost,Wilt,Copper Fungicide
Spring,Loamy,Low,4.09,Niger Seed (payellu),DAP,Root Rot,Copper Fungicide
Winter,Alluvial Soil,High,4.36,Niger Seed (payellu),Cow Manure,Leaf Spot,Neem Oil
Summer,Red Soil,High,1.97,Niger Seed (payellu),Compost,Root Rot,Chlorothalonil
Summer,Clay,Medium,4.86,Niger Seed (payellu),Cow Manure,Blight,Carbendazim
Spring,Clay,Low,2.4,Niger Seed (payellu),Cow Manure,Powdery Mildew,Carbendazim
Spring,Loamy,Medium,5.9,Niger Seed (payellu),Compost,Leaf Spot,Neem Oil
Spring,Red Soil,Low,1.16,Niger Seed (payellu),Vermicompost,Rust,Carbendazim
Winter,Black Soil,High,6.46,Niger Seed (payellu),Urea,Root Rot,Chlorothalonil
Cold,Sandy,Low,9.88,Niger Seed (payellu),Cow Manure,Leaf Spot,Sulfur Spray
Spring,Black Soil,Low,5.26,Safflower (Kusumbapoo),Compost,Root Rot,Trichoderma
Cold,Loamy,Low,4.86,Safflower (Kusumbapoo),NPK,Blight,Sulfur Spray
Spring,Black Soil,Medium,4.27,Safflower (Kusumbapoo),Vermicompost,Root Rot,Carbendazim
Spring,Clay,Medium,2.16,Safflower (Kusumbapoo),Cow Manure,Wilt,Carbendazim
Spring,Clay,Medium,2.18,Safflower (Kusumbapoo),Vermicompost,Powdery Mildew,Carbendazim
Cold,Alluvial Soil,Low,6.97,Safflower (Kusumbapoo),DAP,Rust,Trichoderma
Summer,Alluvial Soil,Medium,8.53,Safflower (Kusumbapoo),Vermicompost,Rust,Neem Oil
Cold,Clay,Low,3.97,Safflower (Kusumbapoo),Vermicompost,Leaf Spot,Chlorothalonil
Summer,Sandy,High,4.1,Safflower (Kusumbapoo),NPK,Powdery Mildew,Carbendazim
Spring,Red Soil,Low,5.57,Safflower (Kusumbapoo),NPK,Wilt,Sulfur Spray
Rainy (Monsoon),Black Soil,Medium,8.68,Coconut (Nariyal),NPK,Leaf Spot,Carbendazim
Cold,Red Soil,High,9.83,Coconut (Nariyal),Urea,Wilt,Trichoderma
Winter,Sandy,Low,0.96,Coconut (Nariyal),NPK,Blight,Carbendazim
Summer,Loamy,High,8.34,Coconut (Nariyal),DAP,Rust,Sulfur Spray
Summer,Clay,High,0.61,Coconut (Nariyal),Cow Manure,Powdery Mildew,Sulfur Spray
Rainy (Monsoon),Loamy,High,4.93,Coconut (Nariyal),Urea,Wilt,Chlorothalonil
Cold,Clay,Low,9.05,Coconut (Nariyal),Compost,Leaf Spot,Carbendazim
Rainy (Monsoon),Alluvial Soil,High,9.12,Coconut (Nariyal),NPK,Blight,Copper Fungicide
Summer,Sandy,Medium,6.74,Coconut (Nariyal),DAP,Wilt,Sulfur Spray
Spring,Red Soil,Medium,4.22,Coconut (Nariyal),Vermicompost,Wilt,Copper Fungicide
Rainy (Monsoon),Sandy,Medium,3.9,Tomato (Tamatar),Vermicompost,Blight,Carbendazim
Winter,Red Soil,High,4.54,Tomato (Tamatar),Compost,Wilt,Carbendazim
Spring,Loamy,Medium,2.15,Tomato (Tamatar),DAP,Leaf Spot,Trichoderma
Spring,Red Soil,Medium,8.33,Tomato (Tamatar),Cow Manure,Wilt,Copper Fungicide
Cold,Black Soil,Medium,9.13,Tomato (Tamatar),DAP,Root Rot,Copper Fungicide
Spring,Loamy,Low,7.93,Tomato (Tamatar),Vermicompost,Leaf Spot,Chlorothalonil
Winter,Alluvial Soil,Low,9.41,Tomato (Tamatar),Vermicompost,Blight,Neem Oil
Cold,Loamy,Low,1.99,Tomato (Tamatar),Vermicompost,Powdery Mildew,Carbendazim
Spring,Red Soil,Medium,2.08,Tomato (Tamatar),NPK,Wilt,Neem Oil
Rainy (Monsoon),Loamy,High,1.34,Tomato (Tamatar),NPK,Wilt,Neem Oil
Rainy (Monsoon),Red Soil,Medium,7.51,Potato (Aloo),Vermicompost,Wilt,Carbendazim
Winter,Alluvial Soil,Medium,0.6,Potato (Aloo),Cow Manure,Wilt,Chlorothalonil
Winter,Alluvial Soil,Low,2.26,Potato (Aloo),Urea,Powdery Mildew,Chlorothalonil
Rainy (Monsoon),Loamy,Low,9.91,Potato (Aloo),Compost,Rust,Neem Oil
Rainy (Monsoon),Black Soil,Low,1.01,Potato (Aloo),Urea,Blight,Copper Fungicide
Summer,Sandy,Low,0.97,Potato (Aloo),Vermicompost,Root Rot,Neem Oil
Spring,Alluvial Soil,Medium,4.02,Potato (Aloo),Compost,Root Rot,Copper Fungicide
Winter,Sandy,Medium,3.39,Potato (Aloo),Vermicompost,Rust,Sulfur Spray
Summer,Black Soil,Low,9.67,Potato (Aloo),NPK,Wilt,Chlorothalonil
Summer,Black Soil,Low,7.39,Potato (Aloo),DAP,Powdery Mildew,Carbendazim
Winter,Red Soil,High,2.33,Onion (Pyaz),Compost,Blight,Trichoderma
Cold,Black Soil,Medium,7.37,Onion (Pyaz),Vermicompost,Root Rot,Neem Oil
Summer,Sandy,High,3.17,Onion (Pyaz),DAP,Root Rot,Neem Oil
Summer,Black Soil,Medium,8.91,Onion (Pyaz),Compost,Blight,Copper Fungicide
Spring,Red Soil,Medium,7.53,Onion (Pyaz),Compost,Wilt,Sulfur Spray
Summer,Alluvial Soil,Low,9.19,Onion (Pyaz),Compost,Root Rot,Sulfur Spray
Winter,Red Soil,Low,5.79,Onion (Pyaz),NPK,Powdery Mildew,Carbendazim
Summer,Black Soil,High,9,Onion (Pyaz),DAP,Blight,Carbendazim
Spring,Sandy,High,6.98,Onion (Pyaz),Urea,Wilt,Carbendazim
Cold,Black Soil,Low,9.62,Onion (Pyaz),Urea,Wilt,Trichoderma
Rainy (Monsoon),Red Soil,Low,1.49,Brinjal (Eggplant),Urea,Leaf Spot,Sulfur Spray
Summer,Alluvial Soil,High,6.79,Brinjal (Eggplant),Compost,Blight,Trichoderma
Summer,Alluvial Soil,High,4.59,Brinjal (Eggplant),Urea,Powdery Mildew,Chlorothalonil
Cold,Sandy,Medium,6.28,Brinjal (Eggplant),Cow Manure,Powdery Mildew,Carbendazim
Summer,Alluvial Soil,Low,5.7,Brinjal (Eggplant),Urea,Leaf Spot,Carbendazim
Winter,Red Soil,Medium,9.6,Brinjal (Eggplant),DAP,Root Rot,Sulfur Spray
Cold,Clay,Low,1.8,Brinjal (Eggplant),Compost,Powdery Mildew,Carbendazim
Summer,Alluvial Soil,Low,9.89,Brinjal (Eggplant),Vermicompost,Blight,Copper Fungicide
Cold,Black Soil,Low,9.9,Brinjal (Eggplant),NPK,Blight,Sulfur Spray
Summer,Red Soil,High,2.96,Brinjal (Eggplant),NPK,Rust,Neem Oil
Winter,Black Soil,Medium,8.53,Cabbage (Patta Gobi),Urea,Powdery Mildew,Chlorothalonil
Cold,Sandy,Low,1.96,Cabbage (Patta Gobi),NPK,Rust,Chlorothalonil
Winter,Black Soil,Low,5.77,Cabbage (Patta Gobi),Urea,Root Rot,Chlorothalonil
Winter,Sandy,Low,8.45,Cabbage (Patta Gobi),Vermicompost,Powdery Mildew,Carbendazim
Rainy (Monsoon),Clay,Low,2.69,Cabbage (Patta Gobi),NPK,Blight,Copper Fungicide
Rainy (Monsoon),Alluvial Soil,Medium,1.04,Cabbage (Patta Gobi),Vermicompost,Powdery Mildew,Copper Fungicide
Winter,Loamy,Low,1.36,Cabbage (Patta Gobi),Vermicompost,Root Rot,Chlorothalonil
Winter,Sandy,Medium,3.15,Cabbage (Patta Gobi),Cow Manure,Root Rot,Trichoderma
Cold,Black Soil,Low,5.77,Cabbage (Patta Gobi),DAP,Rust,Trichoderma
Winter,Black Soil,Low,9.47,Cabbage (Patta Gobi),NPK,Root Rot,Copper Fungicide
Winter,Red Soil,High,8.09,Cauliflower (Phool Gobi),Vermicompost,Wilt,Trichoderma
Winter,Loamy,Low,7.84,Cauliflower (Phool Gobi),Vermicompost,Root Rot,Trichoderma
Summer,Black Soil,High,4.63,Cauliflower (Phool Gobi),Vermicompost,Root Rot,Neem Oil
Summer,Loamy,High,8.86,Cauliflower (Phool Gobi),Cow Manure,Blight,Sulfur Spray
Spring,Red Soil,Medium,2.85,Cauliflower (Phool Gobi),DAP,Root Rot,Neem Oil
Cold,Black Soil,Medium,3.48,Cauliflower (Phool Gobi),DAP,Leaf Spot,Sulfur Spray
Spring,Sandy,High,1.31,Cauliflower (Phool Gobi),NPK,Root Rot,Carbendazim
Cold,Alluvial Soil,Medium,3.96,Cauliflower (Phool Gobi),Cow Manure,Powdery Mildew,Neem Oil
Rainy (Monsoon),Alluvial Soil,Medium,5.8,Cauliflower (Phool Gobi),Compost,Powdery Mildew,Copper Fungicide
Rainy (Monsoon),Sandy,Medium,3.51,Cauliflower (Phool Gobi),Vermicompost,Leaf Spot,Trichoderma
Spring,Loamy,Low,8.22,Carrot (Gajar),Vermicompost,Root Rot,Carbendazim
Cold,Sandy,High,8.69,Carrot (Gajar),Urea,Powdery Mildew,Copper Fungicide
Cold,Black Soil,Low,2.64,Carrot (Gajar),Urea,Rust,Neem Oil
Rainy (Monsoon),Sandy,Low,9.55,Carrot (Gajar),Vermicompost,Root Rot,Sulfur Spray
Rainy (Monsoon),Black Soil,Medium,5.65,Carrot (Gajar),Vermicompost,Rust,Neem Oil
Spring,Sandy,Low,4.74,Carrot (Gajar),Compost,Wilt,Carbendazim
Cold,Sandy,Medium,7.98,Carrot (Gajar),Compost,Blight,Chlorothalonil
Rainy (Monsoon),Loamy,Medium,5.87,Carrot (Gajar),DAP,Root Rot,Copper Fungicide
Rainy (Monsoon),Sandy,Low,1.21,Carrot (Gajar),Vermicompost,Rust,Sulfur Spray
Spring,Black Soil,Medium,7.1,Carrot (Gajar),NPK,Root Rot,Neem Oil
Summer,Alluvial Soil,Low,5.51,Radish (Mooli),Cow Manure,Blight,Carbendazim
Winter,Black Soil,High,9.23,Radish (Mooli),Urea,Leaf Spot,Chlorothalonil
Winter,Clay,High,1.58,Radish (Mooli),Cow Manure,Blight,Neem Oil
Winter,Clay,High,9.51,Radish (Mooli),NPK,Root Rot,Chlorothalonil
Winter,Clay,Low,8.85,Radish (Mooli),Compost,Leaf Spot,Trichoderma
Rainy (Monsoon),Clay,High,9.57,Radish (Mooli),DAP,Root Rot,Sulfur Spray
Winter,Red Soil,Medium,7.89,Radish (Mooli),Cow Manure,Leaf Spot,Copper Fungicide
Summer,Sandy,Low,7.08,Radish (Mooli),NPK,Powdery Mildew,Copper Fungicide
Summer,Loamy,Low,4.78,Radish (Mooli),Urea,Wilt,Sulfur Spray
Winter,Alluvial Soil,High,4.38,Radish (Mooli),Compost,Rust,Neem Oil
Rainy (Monsoon),Sandy,Medium,1.76,Beetroot (Beet),Vermicompost,Root Rot,Sulfur Spray
Rainy (Monsoon),Red Soil,Low,4.43,Beetroot (Beet),Vermicompost,Wilt,Neem Oil
Winter,Sandy,Medium,5.71,Beetroot (Beet),DAP,Powdery Mildew,Sulfur Spray
Summer,Clay,Medium,9.16,Beetroot (Beet),Vermicompost,Leaf Spot,Chlorothalonil
Winter,Alluvial Soil,Low,3.17,Beetroot (Beet),Cow Manure,Blight,Carbendazim
Cold,Alluvial Soil,Low,3.69,Beetroot (Beet),NPK,Wilt,Sulfur Spray
Cold,Black Soil,Low,6.42,Beetroot (Beet),Urea,Wilt,Sulfur Spray
Spring,Clay,Medium,2.21,Beetroot (Beet),Cow Manure,Wilt,Carbendazim
Spring,Loamy,Low,5.15,Beetroot (Beet),Cow Manure,Blight,Neem Oil
Spring,Alluvial Soil,Low,6.32,Beetroot (Beet),Vermicompost,Blight,Carbendazim
Rainy (Monsoon),Loamy,Medium,1.74,Spinach (keerai),Urea,Root Rot,Trichoderma
Summer,Clay,Low,9.89,Spinach (keerai),Cow Manure,Wilt,Carbendazim
Cold,Alluvial Soil,Medium,1.51,Spinach (keerai),NPK,Rust,Chlorothalonil
Winter,Alluvial Soil,Medium,0.72,Spinach (keerai),DAP,Wilt,Chlorothalonil
Spring,Alluvial Soil,Medium,5.85,Spinach (keerai),DAP,Powdery Mildew,Chlorothalonil
Cold,Clay,High,7.16,Spinach (keerai),DAP,Powdery Mildew,Copper Fungicide
Winter,Alluvial Soil,Medium,5.57,Spinach (keerai),NPK,Powdery Mildew,Neem Oil
Winter,Clay,High,7.82,Spinach (keerai),Compost,Powdery Mildew,Sulfur Spray
Cold,Red Soil,High,5.54,Spinach (keerai),Compost,Rust,Carbendazim
Summer,Loamy,High,1.73,Spinach (keerai),Cow Manure,Rust,Carbendazim
Rainy (Monsoon),Clay,High,8.03,Okra (Lady Finger),Compost,Powdery Mildew,Chlorothalonil
Spring,Black Soil,High,4.65,Okra (Lady Finger),NPK,Rust,Sulfur Spray
Spring,Red Soil,Medium,7.89,Okra (Lady Finger),Urea,Rust,Neem Oil
Winter,Clay,Medium,9.97,Okra (Lady Finger),NPK,Root Rot,Neem Oil
Spring,Black Soil,High,1.09,Okra (Lady Finger),DAP,Root Rot,Neem Oil
Spring,Clay,Low,2.42,Okra (Lady Finger),NPK,Leaf Spot,Sulfur Spray
Rainy (Monsoon),Clay,Low,8.7,Okra (Lady Finger),Compost,Powdery Mildew,Trichoderma
Rainy (Monsoon),Red Soil,Medium,1.18,Okra (Lady Finger),Vermicompost,Rust,Carbendazim
Winter,Black Soil,Low,6.64,Okra (Lady Finger),Compost,Blight,Copper Fungicide
Cold,Alluvial Soil,Low,6.25,Okra (Lady Finger),Compost,Blight,Copper Fungicide
Winter,Clay,Medium,5.48,Bitter Gourd (Karela),Urea,Powdery Mildew,Carbendazim
Cold,Black Soil,High,2.96,Bitter Gourd (Karela),Cow Manure,Leaf Spot,Trichoderma
Winter,Alluvial Soil,Medium,9.69,Bitter Gourd (Karela),Compost,Root Rot,Copper Fungicide
Summer,Alluvial Soil,Medium,1.35,Bitter Gourd (Karela),Urea,Wilt,Carbendazim
Rainy (Monsoon),Loamy,Low,6.25,Bitter Gourd (Karela),Urea,Blight,Copper Fungicide
Rainy (Monsoon),Alluvial Soil,Medium,8.83,Bitter Gourd (Karela),DAP,Powdery Mildew,Chlorothalonil
Summer,Clay,High,5.39,Bitter Gourd (Karela),NPK,Rust,Carbendazim
Rainy (Monsoon),Sandy,High,6.57,Bitter Gourd (Karela),Compost,Rust,Sulfur Spray
Summer,Clay,Low,7.65,Bitter Gourd (Karela),DAP,Wilt,Trichoderma
Spring,Red Soil,High,0.95,Bitter Gourd (Karela),Vermicompost,Wilt,Chlorothalonil
Winter,Black Soil,Medium,1.16,Bottle Gourd (Sorakkai),DAP,Wilt,Trichoderma
Cold,Sandy,Low,9.82,Bottle Gourd (Sorakkai),Urea,Rust,Chlorothalonil
Winter,Sandy,Low,0.69,Bottle Gourd (Sorakkai),Cow Manure,Powdery Mildew,Neem Oil
Spring,Black Soil,High,8.45,Bottle Gourd (Sorakkai),Cow Manure,Leaf Spot,Sulfur Spray
Winter,Alluvial Soil,High,2.26,Bottle Gourd (Sorakkai),Urea,Blight,Copper Fungicide
Rainy (Monsoon),Black Soil,Medium,8.6,Bottle Gourd (Sorakkai),NPK,Wilt,Sulfur Spray
Spring,Clay,Low,1.68,Bottle Gourd (Sorakkai),Vermicompost,Root Rot,Carbendazim
Summer,Sandy,Medium,2.67,Bottle Gourd (Sorakkai),Vermicompost,Powdery Mildew,Neem Oil
Cold,Clay,High,9.6,Bottle Gourd (Sorakkai),Vermicompost,Root Rot,Neem Oil
Winter,Red Soil,High,7.55,Bottle Gourd (Sorakkai),Urea,Rust,Trichoderma
Rainy (Monsoon),Black Soil,Medium,6.63,Ridge Gourd (peerkan kai),Urea,Root Rot,Carbendazim
Rainy (Monsoon),Black Soil,Medium,7.61,Ridge Gourd (peerkan kai),Urea,Blight,Chlorothalonil
Rainy (Monsoon),Red Soil,High,6.39,Ridge Gourd (peerkan kai),Cow Manure,Powdery Mildew,Carbendazim
Spring,Clay,Low,4.99,Ridge Gourd (peerkan kai),NPK,Powdery Mildew,Neem Oil
Rainy (Monsoon),Red Soil,Medium,6.42,Ridge Gourd (peerkan kai),NPK,Rust,Carbendazim
Winter,Alluvial Soil,Low,8.13,Ridge Gourd (peerkan kai),Urea,Powdery Mildew,Trichoderma
Rainy (Monsoon),Black Soil,Low,3.85,Ridge Gourd (peerkan kai),Cow Manure,Powdery Mildew,Copper Fungicide
Winter,Alluvial Soil,Medium,9.51,Ridge Gourd (peerkan kai),NPK,Wilt,Copper Fungicide
Cold,Clay,Medium,1.75,Ridge Gourd (peerkan kai),NPK,Wilt,Trichoderma
Cold,Loamy,Low,9.43,Ridge Gourd (peerkan kai),Urea,Powdery Mildew,Sulfur Spray
Rainy (Monsoon),Black Soil,High,3.66,Pumpkin (Poosani),Cow Manure,Leaf Spot,Trichoderma
Spring,Sandy,Medium,8.06,Pumpkin (Poosani),Compost,Blight,Sulfur Spray
Winter,Sandy,Medium,4.07,Pumpkin (Poosani),Cow Manure,Blight,Chlorothalonil
Rainy (Monsoon),Alluvial Soil,Low,1.2,Pumpkin (Poosani),NPK,Powdery Mildew,Carbendazim
Winter,Sandy,High,5.88,Pumpkin (Poosani),Cow Manure,Rust,Chlorothalonil
Winter,Red Soil,High,6.84,Pumpkin (Poosani),DAP,Rust,Neem Oil
Winter,Sandy,Medium,6.63,Pumpkin (Poosani),Cow Manure,Powdery Mildew,Sulfur Spray
